Linux 2.6.32-431.3.1.el6.x86_64 (mule-perflab03.managed.contegix.com) 	03/20/2014 	_x86_64_	(24 CPU)

06:05:58 PM  pswpin/s pswpout/s
06:06:00 PM      0.00      0.00
06:06:02 PM      0.00      0.00
06:06:04 PM      0.00      0.00
06:06:06 PM      0.00      0.00
06:06:08 PM      0.00      0.00
06:06:10 PM      0.00      0.00
06:06:12 PM      0.00      0.00
06:06:14 PM      0.00      0.00
06:06:16 PM      0.00      0.00
06:06:18 PM      0.00      0.00
06:06:20 PM      0.00      0.00
06:06:22 PM      0.00      0.00
06:06:24 PM      0.00      0.00
06:06:26 PM      0.00      0.00
06:06:28 PM      0.00      0.00
06:06:30 PM      0.00      0.00
06:06:32 PM      0.00      0.00
06:06:34 PM      0.00      0.00
06:06:36 PM      0.00      0.00
06:06:38 PM      0.00      0.00
06:06:40 PM      0.00      0.00
06:06:42 PM      0.00      0.00
06:06:44 PM      0.00      0.00
06:06:46 PM      0.00      0.00
06:06:48 PM      0.00      0.00
06:06:50 PM      0.00      0.00
06:06:52 PM      0.00      0.00
06:06:54 PM      0.00      0.00
06:06:56 PM      0.00      0.00
06:06:58 PM      0.00      0.00
06:07:00 PM      0.00      0.00
06:07:02 PM      0.00      0.00
06:07:04 PM      0.00      0.00
06:07:06 PM      0.00      0.00
06:07:08 PM      0.00      0.00
06:07:10 PM      0.00      0.00
06:07:12 PM      0.00      0.00
06:07:14 PM      0.00      0.00
06:07:16 PM      0.00      0.00
06:07:18 PM      0.00      0.00
06:07:20 PM      0.00      0.00
06:07:22 PM      0.00      0.00
06:07:24 PM      0.00      0.00
06:07:26 PM      0.00      0.00
06:07:28 PM      0.00      0.00
06:07:30 PM      0.00      0.00
06:07:32 PM      0.00      0.00
06:07:34 PM      0.00      0.00
06:07:36 PM      0.00      0.00
06:07:38 PM      0.00      0.00
